,Unnamed: 0,Unnamed: 0.1,Unsegmented_hashtag,Segmented_hashtag,Unsegmented_hashtag_lowerCase,Segmented_hashtag_lowerCase,segments_count
34063,34159,34159,HemavatiWater,Hemavati Water,hemavatiwater,hemavati water,2
136460,136809,136809,battiJalao,batti Jalao,battijalao,batti jalao,2
143374,143733,143733,Kannanthanam4Ekm,Kannanthanam 4 Ekm,kannanthanam4ekm,kannanthanam 4 ekm,3
248774,249373,249373,SamajhMainAayaKya,Samajh Main Aaya Kya,samajhmainaayakya,samajh main aaya kya,4
147406,147771,147771,SubsidyKeSideEffects,Subsidy Ke Side Effects,subsidykesideeffects,subsidy ke side effects,4
286670,287351,287351,ChangeChooseDay,Change Choose Day,changechooseday,change choose day,3
3955,3967,3967,ConstitutionInDanger,Constitution In Danger,constitutionindanger,constitution in danger,3
61058,61230,61230,JDSLeadersITRaid,JDS Leaders IT Raid,jdsleadersitraid,jds leaders it raid,4
157106,157494,157494,HoshiarpurSupportVijaySampl,Hoshiarpur Support Vijay Sampl,hoshiarpursupportvijaysampl,hoshiarpur support vijay sampl,4
240813,241390,241390,MayorRef,Mayor Ref,mayorref,mayor ref,2
211072,211582,211582,DontSpoilAvengersEndgame,Dont Spoil Avengers Endgame,dontspoilavengersendgame,dont spoil avengers endgame,4
225387,225933,225933,TomatoWarOfIndia,Tomato War Of India,tomatowarofindia,tomato war of india,4
319392,320149,320149,VoteBuying2019,Vote Buying 2019,votebuying2019,vote buying 2019,3
132448,132785,132785,AxisBankCreditCard,Axis Bank Credit Card,axisbankcreditcard,axis bank credit card,4
85770,86006,86006,FakePrimeMinister,Fake Prime Minister,fakeprimeminister,fake prime minister,3
5203,5220,5220,TerroristStatePakistan,Terrorist State Pakistan,terroriststatepakistan,terrorist state pakistan,3
311463,312203,312203,GreggAllman,Gregg Allman,greggallman,gregg allman,2
117461,117759,117759,battleofVaranasi,battleof Varanasi,battleofvaranasi,battleof varanasi,2
218311,218839,218839,LetsGrowTogether,Lets Grow Together,letsgrowtogether,lets grow together,3
230358,230912,230912,BhagwanBuddha,Bhagwan Buddha,bhagwanbuddha,bhagwan buddha,2
195932,196404,196404,PrakashPurab,Prakash Purab,prakashpurab,prakash purab,2
259094,259712,259712,CityHunter,City Hunter,cityhunter,city hunter,2
291405,292095,292095,RajashyamalaYagam,Rajashyamala Yagam,rajashyamalayagam,rajashyamala yagam,2
34983,35080,35080,OrElder,Or Elder,orelder,or elder,2
10922,10955,10955,GunFreeZones,Gun Free Zones,gunfreezones,gun free zones,3
319234,319991,319991,VijaySankalpMP,Vijay Sankalp MP,vijaysankalpmp,vijay sankalp mp,3
184520,184963,184963,SaTamangPanahon,Sa Tamang Panahon,satamangpanahon,sa tamang panahon,3
121244,121557,121557,EVMExcuse,EVM Excuse,evmexcuse,evm excuse,2
191737,192197,192197,EasterUnderWraps,Easter Under Wraps,easterunderwraps,easter under wraps,3
271753,272395,272395,ChokidarForRich,Chokidar For Rich,chokidarforrich,chokidar for rich,3
143733,144092,144092,dearFriends,dear Friends,dearfriends,dear friends,2
137581,137932,137932,PunamjiPhirse,Punamji Phirse,punamjiphirse,punamji phirse,2
78635,78852,78852,VoteFelicia,Vote Felicia,votefelicia,vote felicia,2
330392,331159,331159,#TokyoSuperHits,Tokyo Super Hits,#tokyosuperhits,tokyo super hits,3
77960,78176,78176,modiDelhi,modi Delhi,modidelhi,modi delhi,2
257163,257777,257777,AmethiCampaign,Amethi Campaign,amethicampaign,amethi campaign,2
189649,190105,190105,ABhi,A Bhi,abhi,a bhi,2
322101,322861,322861,AbkiBaarChowkidar,Abki Baar Chowkidar,abkibaarchowkidar,abki baar chowkidar,3
212780,213297,213297,ChowkidarNirmalasitharaman,Chowkidar Nirmalasitharaman,chowkidarnirmalasitharaman,chowkidar nirmalasitharaman,2
50661,50804,50804,EmeryturaPlus,Emerytura Plus,emeryturaplus,emerytura plus,2
298152,298860,298860,MaharashtraLegislativeassembly,Maharashtra Legislativeassembly,maharashtralegislativeassembly,maharashtra legislativeassembly,2
191783,192243,192243,ApElections2019,Ap Elections 2019,apelections2019,ap elections 2019,3
316491,317242,317242,BaghPat,Bagh Pat,baghpat,bagh pat,2
154287,154671,154671,LimitedGovernment,Limited Government,limitedgovernment,limited government,2
175072,175495,175495,BJPkiAmethi,BJ Pki Amethi,bjpkiamethi,bj pki amethi,3
272585,273230,273230,RAPEpublic,RAP Epublic,rapepublic,rap epublic,2
51946,52093,52093,MyVote4PrakashRaj,My Vote 4 Prakash Raj,myvote4prakashraj,my vote 4 prakash raj,5
45421,45548,45548,ValueJudgement,Value Judgement,valuejudgement,value judgement,2
173773,174193,174193,GRCIdeas,GRC Ideas,grcideas,grc ideas,2
317001,317754,317754,IndiaDismissModi,India Dismiss Modi,indiadismissmodi,india dismiss modi,3
77827,78043,78043,DVAct,DV Act,dvact,dv act,2
23927,24003,24003,NYAYseSuraksha,NYA Yse Suraksha,nyaysesuraksha,nya yse suraksha,3
206234,206731,206731,TNWelcomesRG,TN Welcomes RG,tnwelcomesrg,tn welcomes rg,3
204742,205234,205234,SidarthNsingh,Sidarth Nsingh,sidarthnsingh,sidarth nsingh,2
91867,92117,92117,GameBanyegaName,Game Banyega Name,gamebanyeganame,game banyega name,3
234907,235468,235468,ModiSwearingInCeremony,Modi Swearing In Ceremony,modiswearinginceremony,modi swearing in ceremony,4
237365,237933,237933,NaturalBornCitizenship,Natural Born Citizenship,naturalborncitizenship,natural born citizenship,3
211744,212256,212256,PulawamaTerrorAttack,Pulawama Terror Attack,pulawamaterrorattack,pulawama terror attack,3
163015,163416,163416,KillingBabiesIsNotFreedom,Killing Babies Is Not Freedom,killingbabiesisnotfreedom,killing babies is not freedom,5
78557,78774,78774,DepartmentOfCommerce,Department Of Commerce,departmentofcommerce,department of commerce,3
84272,84504,84504,FinanceDepartment,Finance Department,financedepartment,finance department,2
256700,257314,257314,SuryakantaMishra,Suryakanta Mishra,suryakantamishra,suryakanta mishra,2
249627,250228,250228,LunchBreakMistake,Lunch Break Mistake,lunchbreakmistake,lunch break mistake,3
315205,315955,315955,ModiOfVadnagar,Modi Of Vadnagar,modiofvadnagar,modi of vadnagar,3
187579,188031,188031,BJP4hind,BJP 4 hind,bjp4hind,bjp 4 hind,3
87861,88105,88105,MelenchonDemission,Melenchon Demission,melenchondemission,melenchon demission,2
314628,315375,315375,GandJalRehaHi,Gand Jal Reha Hi,gandjalrehahi,gand jal reha hi,4
144219,144578,144578,KodiSeer,Kodi Seer,kodiseer,kodi seer,2
248463,249061,249061,LobbyingBan,Lobbying Ban,lobbyingban,lobbying ban,2
193306,193770,193770,aanatoModihai,aanato Modihai,aanatomodihai,aanato modihai,2
163835,164237,164237,DemonRAT,Demon RAT,demonrat,demon rat,2
195605,196077,196077,BanUrmila,Ban Urmila,banurmila,ban urmila,2
124582,124903,124903,DennisSullivan,Dennis Sullivan,dennissullivan,dennis sullivan,2
8891,8920,8920,ImpeachPence,Impeach Pence,impeachpence,impeach pence,2
275027,275678,275678,ChineseInfluence,Chinese Influence,chineseinfluence,chinese influence,2
277039,277695,277695,GVLNarasimharao,GVL Narasimharao,gvlnarasimharao,gvl narasimharao,2
300922,301636,301636,FantomBikes,Fantom Bikes,fantombikes,fantom bikes,2
96713,96971,96971,ElphinstonBridge,Elphinston Bridge,elphinstonbridge,elphinston bridge,2
137296,137646,137646,BJPgurgaon,BJ Pgurgaon,bjpgurgaon,bj pgurgaon,2
210077,210583,210583,DevanandChavan,Devanand Chavan,devanandchavan,devanand chavan,2
74291,74497,74497,GoddessofthePlains,Goddessofthe Plains,goddessoftheplains,goddessofthe plains,2
164297,164700,164700,VoteSouthAfrica,Vote South Africa,votesouthafrica,vote south africa,3
24677,24756,24756,ThePatriot,The Patriot,thepatriot,the patriot,2
174937,175360,175360,RahulDoesItAgain,Rahul Does It Again,rahuldoesitagain,rahul does it again,4
256887,257501,257501,WildLife,Wild Life,wildlife,wild life,2
284365,285042,285042,VoteBlueToSaveSC,Vote Blue To Save SC,votebluetosavesc,vote blue to save sc,5
167938,168350,168350,FairMaps,Fair Maps,fairmaps,fair maps,2
237882,238451,238451,PremWatsa,Prem Watsa,premwatsa,prem watsa,2
328525,329292,329292,#HappyBirthdayKajal,Happy Birthday Kajal,#happybirthdaykajal,happy birthday kajal,3
119,119,119,90YearOld,90 Year Old,90yearold,90 year old,3
105870,106151,106151,RaGaDrama,Ra Ga Drama,ragadrama,ra ga drama,3
215249,215770,215770,banRSS,ban RSS,banrss,ban rss,2
3039,3051,3051,StatehoodDay,Statehood Day,statehoodday,statehood day,2
228393,228946,228946,News24TodaysChanakya,News 24 Todays Chanakya,news24todayschanakya,news 24 todays chanakya,4
121822,122135,122135,ChorChorBhaiBhai,Chor Chor Bhai Bhai,chorchorbhaibhai,chor chor bhai bhai,4
223263,223801,223801,JPNRCorporate,JPNR Corporate,jpnrcorporate,jpnr corporate,2
300424,301137,301137,TeamGrowth,Team Growth,teamgrowth,team growth,2
19193,19251,19251,GetOutBJP,Get Out BJP,getoutbjp,get out bjp,3
95359,95615,95615,MeriJaanModiSarkaar,Meri Jaan Modi Sarkaar,merijaanmodisarkaar,meri jaan modi sarkaar,4
46222,46354,46354,AkiraNandan,Akira Nandan,akiranandan,akira nandan,2
197769,198244,198244,ITDepartmentsAction,IT Departments Action,itdepartmentsaction,it departments action,3
159790,160181,160181,MultiDayGifts,Multi Day Gifts,multidaygifts,multi day gifts,3
171782,172199,172199,AmitShahTheMurdrer,Amit Shah The Murdrer,amitshahthemurdrer,amit shah the murdrer,4
229079,229632,229632,UselessCitizen,Useless Citizen,uselesscitizen,useless citizen,2
114756,115050,115050,HeavyGST,Heavy GST,heavygst,heavy gst,2
96440,96697,96697,CabinetSecretary,Cabinet Secretary,cabinetsecretary,cabinet secretary,2
278573,279236,279236,cabinetMinster,cabinet Minster,cabinetminster,cabinet minster,2
150334,150705,150705,ElectionStrategyMeeting,Election Strategy Meeting,electionstrategymeeting,election strategy meeting,3
198231,198707,198707,TrsMinisterVSrinivasGoud,Trs Minister V Srinivas Goud,trsministervsrinivasgoud,trs minister v srinivas goud,5
109066,109349,109349,SayNOtoGun,Say N Oto Gun,saynotogun,say n oto gun,4
1315,1321,1321,TechCabal,Tech Cabal,techcabal,tech cabal,2
228329,228882,228882,AbToGharDilwaoModiJi,Ab To Ghar Dilwao Modi Ji,abtoghardilwaomodiji,ab to ghar dilwao modi ji,6
177053,177478,177478,SurajEkChandaEkModiEk,Suraj Ek Chanda Ek Modi Ek,surajekchandaekmodiek,suraj ek chanda ek modi ek,6
329076,329843,329843,#ShehnaazArjunWithFaridoon,Shehnaaz Arjun With Faridoon,#shehnaazarjunwithfaridoon,shehnaaz arjun with faridoon,4
31774,31866,31866,Vote4RecordMargin,Vote 4 Record Margin,vote4recordmargin,vote 4 record margin,4
262628,263252,263252,ResultDayControversy,Result Day Controversy,resultdaycontroversy,result day controversy,3
223483,224021,224021,SearchWWW,Search WWW,searchwww,search www,2
39699,39811,39811,ShouldPay,Should Pay,shouldpay,should pay,2
202540,203029,203029,MumbaiNorthCentral,Mumbai North Central,mumbainorthcentral,mumbai north central,3
104158,104435,104435,ShaheedOwaisAhmed,Shaheed Owais Ahmed,shaheedowaisahmed,shaheed owais ahmed,3
251344,251949,251949,BumBumModi,Bum Bum Modi,bumbummodi,bum bum modi,3
92329,92580,92580,CalculeCommeLaFi,Calcule Comme La Fi,calculecommelafi,calcule comme la fi,4
122364,122677,122677,ManWithGoldenHeart,Man With Golden Heart,manwithgoldenheart,man with golden heart,4
317647,318402,318402,PhirekbaarModiSarkaar,Phirekbaar Modi Sarkaar,phirekbaarmodisarkaar,phirekbaar modi sarkaar,3
188308,188760,188760,SportySunday,Sporty Sunday,sportysunday,sporty sunday,2
146249,146611,146611,EntertainmentTop5,Entertainment Top 5,entertainmenttop5,entertainment top 5,3
88966,89213,89213,WeAreWithYouRahul,We Are With You Rahul,wearewithyourahul,we are with you rahul,5
162965,163365,163365,FaridabadChart,Faridabad Chart,faridabadchart,faridabad chart,2
215241,215762,215762,NaveenOnceAgain,Naveen Once Again,naveenonceagain,naveen once again,3
86105,86341,86341,DomingoDeRamos,Domingo De Ramos,domingoderamos,domingo de ramos,3
328748,329515,329515,#Rangde,Rangde,#rangde,rangde,1
48848,48986,48986,mpAjmer,mp Ajmer,mpajmer,mp ajmer,2
248977,249576,249576,repubLICK,repub LICK,republick,repub lick,2
59486,59654,59654,PMbiopic,P Mbiopic,pmbiopic,p mbiopic,2
198218,198694,198694,WhatHappenedNow,What Happened Now,whathappenednow,what happened now,3
104435,104713,104713,AltcoinNews,Altcoin News,altcoinnews,altcoin news,2
177983,178409,178409,BSYadyurappa,BS Yadyurappa,bsyadyurappa,bs yadyurappa,2
24163,24240,24240,RahulGandhiAmateurHai,Rahul Gandhi Amateur Hai,rahulgandhiamateurhai,rahul gandhi amateur hai,4
320891,321650,321650,MakeItCount,Make It Count,makeitcount,make it count,3
272551,273196,273196,OwenRoncon,Owen Roncon,owenroncon,owen roncon,2
68440,68627,68627,SchoolEncounters,School Encounters,schoolencounters,school encounters,2
320986,321745,321745,IHaventSeenOneOfTheseBefore,I Havent Seen One Of These Before,ihaventseenoneofthesebefore,i havent seen one of these before,7
254950,255563,255563,NamonarayanMeena,Namonarayan Meena,namonarayanmeena,namonarayan meena,2
241592,242170,242170,PakMedia,Pak Media,pakmedia,pak media,2
52594,52744,52744,ModiMajesticLionlVsAtankistan,Modi Majestic Lionl Vs Atankistan,modimajesticlionlvsatankistan,modi majestic lionl vs atankistan,5
91159,91408,91408,SaavdhanBoys,Saavdhan Boys,saavdhanboys,saavdhan boys,2
297559,298266,298266,BeTheLegacy,Be The Legacy,bethelegacy,be the legacy,3
331906,332673,332673,#Tiger3,Tiger 3,#tiger3,tiger 3,2
57747,57912,57912,JoeJonas,Joe Jonas,joejonas,joe jonas,2
260710,261332,261332,DenkzettelbeiderEUWahl,Denkzettelbeider EU Wahl,denkzettelbeidereuwahl,denkzettelbeider eu wahl,3
252524,253132,253132,RomaUdinese,Roma Udinese,romaudinese,roma udinese,2
273093,273739,273739,BJPOdishaNominations2019,BJP Odisha Nominations 2019,bjpodishanominations2019,bjp odisha nominations 2019,4
158101,158491,158491,JamieDornan,Jamie Dornan,jamiedornan,jamie dornan,2
307764,308496,308496,VArunHiVikasHai,V Arun Hi Vikas Hai,varunhivikashai,v arun hi vikas hai,5
294576,295276,295276,Top10MorningNewsBulletin,Top 10 Morning News Bulletin,top10morningnewsbulletin,top 10 morning news bulletin,5
28099,28185,28185,AskChetan,Ask Chetan,askchetan,ask chetan,2
124758,125079,125079,DelhiBadlo,Delhi Badlo,delhibadlo,delhi badlo,2
279741,280407,280407,BordingPass,Bording Pass,bordingpass,bording pass,2
261217,261840,261840,FoolsVoteForFools,Fools Vote For Fools,foolsvoteforfools,fools vote for fools,4
130926,131259,131259,ParkashSinghBdal,Parkash Singh Bdal,parkashsinghbdal,parkash singh bdal,3
178746,179173,179173,YetiFootPrint,Yeti Foot Print,yetifootprint,yeti foot print,3
234023,234582,234582,JayegaToModiHee,Jayega To Modi Hee,jayegatomodihee,jayega to modi hee,4
22748,22820,22820,Bjp4Etah,Bjp 4 Etah,bjp4etah,bjp 4 etah,3
148683,149049,149049,BringAMajorityGovt,Bring A Majority Govt,bringamajoritygovt,bring a majority govt,4
183635,184074,184074,ApplyPMSYM,Apply PMSYM,applypmsym,apply pmsym,2
157294,157683,157683,kisnePMbanayaisko,kisne P Mbanayaisko,kisnepmbanayaisko,kisne p mbanayaisko,3
221661,222196,222196,AsiaCup,Asia Cup,asiacup,asia cup,2
200532,201016,201016,KoinKata,Koin Kata,koinkata,koin kata,2
230694,231248,231248,28thAmendment,28 th Amendment,28thamendment,28 th amendment,3
320041,320799,320799,anjanaomModi,anjanaom Modi,anjanaommodi,anjanaom modi,2
232058,232614,232614,BJPNarendraModi,BJP Narendra Modi,bjpnarendramodi,bjp narendra modi,3
9643,9673,9673,medicalApplication,medical Application,medicalapplication,medical application,2
139957,140312,140312,PrimeNewsUpdate,Prime News Update,primenewsupdate,prime news update,3
309390,310125,310125,VVPTs,VVP Ts,vvpts,vvp ts,2
86175,86411,86411,ModiFoods,Modi Foods,modifoods,modi foods,2
291404,292094,292094,UttarakhandChiefMinister,Uttarakhand Chief Minister,uttarakhandchiefminister,uttarakhand chief minister,3
168208,168620,168620,APwithKApaul,A Pwith K Apaul,apwithkapaul,a pwith k apaul,4
181296,181729,181729,EpilepticMuhammad,Epileptic Muhammad,epilepticmuhammad,epileptic muhammad,2
178950,179377,179377,PMModifilm,PM Modifilm,pmmodifilm,pm modifilm,2
219688,220218,220218,OyeHoeMomemt,Oye Hoe Momemt,oyehoemomemt,oye hoe momemt,3
264949,265576,265576,DallasVotes,Dallas Votes,dallasvotes,dallas votes,2
143591,143950,143950,HealthInfluencers,Health Influencers,healthinfluencers,health influencers,2
219361,219891,219891,MaharashtraVotes,Maharashtra Votes,maharashtravotes,maharashtra votes,2
215322,215843,215843,ShameOnRajivGandhi,Shame On Rajiv Gandhi,shameonrajivgandhi,shame on rajiv gandhi,4
292588,293282,293282,RamadaPlaza,Ramada Plaza,ramadaplaza,ramada plaza,2
209341,209845,209845,ConfusedSC,Confused SC,confusedsc,confused sc,2
280820,281487,281487,BJPSthapnaDay,BJP Sthapna Day,bjpsthapnaday,bjp sthapna day,3
178557,178983,178983,MashOMeter,Mash O Meter,mashometer,mash o meter,3
277392,278049,278049,RespectRSS,Respect RSS,respectrss,respect rss,2
246695,247287,247287,CensureBarr,Censure Barr,censurebarr,censure barr,2
19540,19598,19598,CongressIsKalank,Congress Is Kalank,congressiskalank,congress is kalank,3
105657,105936,105936,GhorGhatbandhan,Ghor Ghatbandhan,ghorghatbandhan,ghor ghatbandhan,2
193120,193583,193583,NotAPaidAdvertisement,Not A Paid Advertisement,notapaidadvertisement,not a paid advertisement,4
255826,256439,256439,NicoCue,Nico Cue,nicocue,nico cue,2
16619,16670,16670,PratyushaRajeshwari,Pratyusha Rajeshwari,pratyusharajeshwari,pratyusha rajeshwari,2
217029,217553,217553,PCGaddigoudar,PC Gaddigoudar,pcgaddigoudar,pc gaddigoudar,2
247681,248277,248277,UnitedHindu,United Hindu,unitedhindu,united hindu,2
329647,330414,330414,#HappyBirthdayAndreaJeremiah,Happy Birthday Andrea Jeremiah,#happybirthdayandreajeremiah,happy birthday andrea jeremiah,4
159659,160050,160050,GujranwalaCantonment,Gujranwala Cantonment,gujranwalacantonment,gujranwala cantonment,2
55119,55275,55275,ModiFiedSaguniOfIndia,Modi Fied Saguni Of India,modifiedsaguniofindia,modi fied saguni of india,5
276989,277645,277645,BalochiFreedomFighter,Balochi Freedom Fighter,balochifreedomfighter,balochi freedom fighter,3
82812,83039,83039,ModiLooter,Modi Looter,modilooter,modi looter,2
113274,113565,113565,TollywoodStars,Tollywood Stars,tollywoodstars,tollywood stars,2
113028,113318,113318,UngliUtha,Ungli Utha,ungliutha,ungli utha,2
92703,92954,92954,DelhiPradeshTeam,Delhi Pradesh Team,delhipradeshteam,delhi pradesh team,3
214298,214817,214817,PakistanPMImrankhan,Pakistan PM Imrankhan,pakistanpmimrankhan,pakistan pm imrankhan,3
84911,85146,85146,namoNihal,namo Nihal,namonihal,namo nihal,2
97909,98172,98172,PuriReShankhanada,Puri Re Shankhanada,purireshankhanada,puri re shankhanada,3
131340,131673,131673,PSLAwards19,PSL Awards 19,pslawards19,psl awards 19,3
105897,106178,106178,SbiBank,Sbi Bank,sbibank,sbi bank,2
315391,316141,316141,NewMLAs,New ML As,newmlas,new ml as,3
82849,83078,83078,JusticeforMadhu,Justicefor Madhu,justiceformadhu,justicefor madhu,2
112767,113056,113056,HillaryForPrison,Hillary For Prison,hillaryforprison,hillary for prison,3
211138,211648,211648,BJPisChorParty,BJ Pis Chor Party,bjpischorparty,bj pis chor party,4
95464,95720,95720,PuducherrySpeaker,Puducherry Speaker,puducherryspeaker,puducherry speaker,2
299662,300372,300372,StrongerWithAllies,Stronger With Allies,strongerwithallies,stronger with allies,3
100017,100283,100283,CommentryBox,Commentry Box,commentrybox,commentry box,2
283063,283736,283736,FWWomen,FW Women,fwwomen,fw women,2
13066,13104,13104,SpokaneCounty,Spokane County,spokanecounty,spokane county,2
2495,2503,2503,SpidermanFarfromHome,Spiderman Farfrom Home,spidermanfarfromhome,spiderman farfrom home,3
247062,247655,247655,GooglePixel3,Google Pixel 3,googlepixel3,google pixel 3,3
183302,183740,183740,HomeMinisrer,Home Minisrer,homeminisrer,home minisrer,2
262285,262909,262909,UrabanNaxal,Uraban Naxal,urabannaxal,uraban naxal,2
105836,106116,106116,UTurnReddy,U Turn Reddy,uturnreddy,u turn reddy,3
54342,54498,54498,GoBackModii,Go Back Modii,gobackmodii,go back modii,3
98993,99257,99257,dynastyMuktPunjab,dynasty Mukt Punjab,dynastymuktpunjab,dynasty mukt punjab,3
268747,269384,269384,MahalootGathbandhan,Mahaloot Gathbandhan,mahalootgathbandhan,mahaloot gathbandhan,2
106473,106755,106755,GropingJoeBiden,Groping Joe Biden,gropingjoebiden,groping joe biden,3
113007,113297,113297,NERYuvatha,NER Yuvatha,neryuvatha,ner yuvatha,2
15186,15232,15232,AmwithMRR,Amwith MRR,amwithmrr,amwith mrr,2
312062,312804,312804,DefeatThesePPL,Defeat These PPL,defeattheseppl,defeat these ppl,3
165291,165698,165698,MoviesOnSunTV,Movies On Sun TV,moviesonsuntv,movies on sun tv,4
112619,112908,112908,WahMango,Wah Mango,wahmango,wah mango,2
69128,69317,69317,CashSeizures,Cash Seizures,cashseizures,cash seizures,2
54,54,54,WhiteOldMen,White Old Men,whiteoldmen,white old men,3
188824,189277,189277,SouthAsiaZindabad,South Asia Zindabad,southasiazindabad,south asia zindabad,3
61126,61299,61299,ModernIndia,Modern India,modernindia,modern india,2
213120,213637,213637,DamnJoke,Damn Joke,damnjoke,damn joke,2
216559,217083,217083,SayyestoSadhviPragya,Sayyesto Sadhvi Pragya,sayyestosadhvipragya,sayyesto sadhvi pragya,3
30765,30855,30855,BathroomPeeper,Bathroom Peeper,bathroompeeper,bathroom peeper,2
131614,131949,131949,QuantMinds,Quant Minds,quantminds,quant minds,2
3902,3914,3914,NaseerHossain,Naseer Hossain,naseerhossain,naseer hossain,2
30233,30320,30320,YTFFManila,YTFF Manila,ytffmanila,ytff manila,2
102504,102777,102777,NaMoFirSe,Na Mo Fir Se,namofirse,na mo fir se,4
123861,124180,124180,ProtectPensions,Protect Pensions,protectpensions,protect pensions,2
66254,66436,66436,MasoodAzarjiZakirNaikjiRohingyaji,Masood Azarji Zakir Naikji Rohingyaji,masoodazarjizakirnaikjirohingyaji,masood azarji zakir naikji rohingyaji,5
166314,166724,166724,SlamGraham,Slam Graham,slamgraham,slam graham,2
265277,265905,265905,UNemployment,U Nemployment,unemployment,u nemployment,2
291924,292616,292616,bhAratmata,bh Aratmata,bharatmata,bh aratmata,2
112151,112439,112439,AlgorithmicNations,Algorithmic Nations,algorithmicnations,algorithmic nations,2
179555,179984,179984,Maharshi50DaysIn200Centres,Maharshi 50 Days In 200 Centres,maharshi50daysin200centres,maharshi 50 days in 200 centres,6
63510,63687,63687,VBSLooters,VBS Looters,vbslooters,vbs looters,2
253615,254225,254225,SurendranagarWithModiji,Surendranagar With Modiji,surendranagarwithmodiji,surendranagar with modiji,3
139732,140086,140086,MPupdate,M Pupdate,mpupdate,m pupdate,2
228484,229037,229037,GramSadakYojana,Gram Sadak Yojana,gramsadakyojana,gram sadak yojana,3
280268,280934,280934,PaulWalker,Paul Walker,paulwalker,paul walker,2
107404,107686,107686,LottoStar,Lotto Star,lottostar,lotto star,2
97139,97400,97400,BrngwlAssembly,Brngwl Assembly,brngwlassembly,brngwl assembly,2
226927,227477,227477,VoteForDeserved,Vote For Deserved,votefordeserved,vote for deserved,3
164621,165024,165024,NRSMedicalcollege,NRS Medicalcollege,nrsmedicalcollege,nrs medicalcollege,2
58737,58903,58903,PSLkaSamaa,PS Lka Samaa,pslkasamaa,ps lka samaa,3
183158,183594,183594,BeMyGuest,Be My Guest,bemyguest,be my guest,3
159272,159662,159662,AcharyaSwamishreeMaharaj,Acharya Swamishree Maharaj,acharyaswamishreemaharaj,acharya swamishree maharaj,3
75551,75759,75759,MaharashtraMODified,Maharashtra MO Dified,maharashtramodified,maharashtra mo dified,3
144972,145332,145332,LibertadDeExpresion,Libertad De Expresion,libertaddeexpresion,libertad de expresion,3
287259,287940,287940,ChokidaarChoorHai,Chokidaar Choor Hai,chokidaarchoorhai,chokidaar choor hai,3
44948,45072,45072,BJPBhagaoBharatBachao,BJP Bhagao Bharat Bachao,bjpbhagaobharatbachao,bjp bhagao bharat bachao,4
149529,149898,149898,DrivenByDesign,Driven By Design,drivenbydesign,driven by design,3
98558,98822,98822,HemantLKarkare,Hemant L Karkare,hemantlkarkare,hemant l karkare,3
34194,34290,34290,BiharInLaluRaj,Bihar In Lalu Raj,biharinlaluraj,bihar in lalu raj,4
93697,93950,93950,AKantony,A Kantony,akantony,a kantony,2
286063,286743,286743,ShaistaLodhi,Shaista Lodhi,shaistalodhi,shaista lodhi,2
97967,98230,98230,IndianHeraldDawnDefeated,Indian Herald Dawn Defeated,indianheralddawndefeated,indian herald dawn defeated,4
33802,33898,33898,powerlessBJP,powerless BJP,powerlessbjp,powerless bjp,2
74613,74820,74820,ResultsWithNortheastLive,Results With Northeast Live,resultswithnortheastlive,results with northeast live,4
65636,65817,65817,ViswasamWithSunTV,Viswasam With Sun TV,viswasamwithsuntv,viswasam with sun tv,4
145551,145912,145912,UnpaidGoIEmployees,Unpaid Go I Employees,unpaidgoiemployees,unpaid go i employees,4
166393,166803,166803,MuftiShaheeba,Mufti Shaheeba,muftishaheeba,mufti shaheeba,2
287736,288419,288419,KaaleAngrez,Kaale Angrez,kaaleangrez,kaale angrez,2
87254,87492,87492,APradeepKumar,A Pradeep Kumar,apradeepkumar,a pradeep kumar,3
227562,228114,228114,HateTRS,Hate TRS,hatetrs,hate trs,2
298264,298973,298973,BathilSollungalThambidurai,Bathil Sollungal Thambidurai,bathilsollungalthambidurai,bathil sollungal thambidurai,3
267633,268268,268268,YsJaganSlamsChandraBabu,Ys Jagan Slams Chandra Babu,ysjaganslamschandrababu,ys jagan slams chandra babu,5
213052,213569,213569,PublicGrievances,Public Grievances,publicgrievances,public grievances,2
146569,146932,146932,PMagain,P Magain,pmagain,p magain,2
323971,324737,324737,SumitranandanPant,Sumitranandan Pant,sumitranandanpant,sumitranandan pant,2
193019,193482,193482,CISFCompany,CISF Company,cisfcompany,cisf company,2
296081,296783,296783,BJPMLARamratanKushwaha,BJPMLA Ramratan Kushwaha,bjpmlaramratankushwaha,bjpmla ramratan kushwaha,3
217483,218008,218008,RahulsDay,Rahuls Day,rahulsday,rahuls day,2
15300,15346,15346,SonyIndia,Sony India,sonyindia,sony india,2
249550,250150,250150,AmitaBiswal,Amita Biswal,amitabiswal,amita biswal,2
193865,194331,194331,GirirajDadaJindabad,Giriraj Dada Jindabad,girirajdadajindabad,giriraj dada jindabad,3
257101,257715,257715,ZardariHouse,Zardari House,zardarihouse,zardari house,2
270439,271080,271080,AlladdinKaChirag,Alladdin Ka Chirag,alladdinkachirag,alladdin ka chirag,3
315577,316328,316328,SerdarKulbilge,Serdar Kulbilge,serdarkulbilge,serdar kulbilge,2
289288,289972,289972,GunturArea,Guntur Area,gunturarea,guntur area,2
80920,81139,81139,KolaiyuthirKaalam,Kolaiyuthir Kaalam,kolaiyuthirkaalam,kolaiyuthir kaalam,2
39923,40036,40036,ThisIsNotADrill,This Is Not A Drill,thisisnotadrill,this is not a drill,5
