,Hashtag,1,2,3,4,5,6,7,8,9,10,Source,id,topk,mutlitoken,charner,answer,annotator,annotation_id,created_at,updated_at,lead_time,Final Segmentation
506,lakshya,lakshya,laksh ya,l akshya,lakshy a,laksh y a,la kshya,lak shya,laks hya,l akshy a,lak shy a,roman,230599,$1,Hashtag has non english token ,None,lakshya,1,2176,2022-01-04T07:42:27.006170Z,2022-01-04T07:42:27.006200Z,5.782,lakshya
507,aapresentsaha,aapresentsaha,aapresentsah a,a apresentsaha,aapresentsa ha,aap resentsaha,aa presentsaha,aapresent saha,aapresents aha,aa present saha,aa presents a ha,roman,230598,None,Hashtag has named entities,"[{""start"": 0, ""end"": 2, ""text"": ""aa"", ""labels"": [""Named Entity""]}, {""start"": 10, ""end"": 13, ""text"": ""aha"", ""labels"": [""Named Entity""]}]",aa presents aha,1,2065,2021-12-30T17:00:15.554969Z,2021-12-30T17:00:15.555016Z,41.151,aa presents aha
508,sriharikota,sriharikota,sri hari kota,sriharikot a,srihari kota,s riharikota,srihariko ta,sri harikota,sr iharikota,sriharik ota,srihari ko ta,roman,230597,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 11, ""text"": ""sriharikota"", ""labels"": [""Named Entity""]}]",sriharikota,1,2064,2021-12-30T16:59:32.399473Z,2021-12-30T16:59:32.399519Z,3.582,sriharikota
509,mondayvibes,mondayvibes,monday vibes,mondayvibe s,m ondayvibes,mondayvib es,mo ndayvibes,mon dayvibes,mondayvi bes,mond ayvibes,monda yvibes,roman,230596,$2,None,None,mondayvibes,1,2175,2022-01-04T07:42:18.219824Z,2022-01-04T07:42:18.219851Z,4.716,monday vibes
510,happybirthdaymrsthala,happybirthdaymrsthala,happybirthdaymrsthal a,happybirthdaymrstha la,ha ppybirthdaymrsthala,h appybirthdaymrsthala,happy birthdaymrsthala,happybirthdaymrsth ala,hap pybirthdaymrsthala,happybirthdaymrst hala,happ ybirthdaymrsthala,roman,230594,None,Hashtag has named entities,"[{""start"": 13, ""end"": 16, ""text"": ""mrs"", ""labels"": [""Named Entity""]}, {""start"": 16, ""end"": 21, ""text"": ""thala"", ""labels"": [""Named Entity""]}]",happy birthday mrs thala,1,2174,2022-01-04T07:40:10.423756Z,2022-01-04T07:40:10.423828Z,33.063,happy birthday mrs thala
511,ajinkyarahane,ajinkya rahane,ajinkyarahane,ajinkyarahan e,ajinkyaraha ne,a jinkyarahane,ajinkyarah ane,aj inkyarahane,aji nkyarahane,ajinkyara hane,ajinky arahane,roman,230593,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""ajinkya"", ""labels"": [""Named Entity""]}, {""start"": 7, ""end"": 13, ""text"": ""rahane"", ""labels"": [""Named Entity""]}]",ajinkyarahane,1,2173,2022-01-04T07:39:34.756974Z,2022-01-04T07:39:34.757047Z,8.936,ajinkya rahane
512,greenindiachallenge,greenindiachallenge,green india challenge,greenindiachalleng e,greenindia challenge,green indiachallenge,g reenindiachallenge,greenindiachallen ge,greenindiachal lenge,gr eenindiachallenge,greenindiachall enge,roman,230592,$2,Hashtag has named entities,"[{""start"": 5, ""end"": 10, ""text"": ""india"", ""labels"": [""Named Entity""]}]",greenindiachallenge,1,2172,2022-01-04T07:39:22.739925Z,2022-01-04T07:39:22.739997Z,7.669,green india challenge
513,mdhmasala,mdhmasala,mdhmasal a,mdh masala,mdhmasa la,m dhmasala,mdhma sala,md hmasala,mdhmas ala,mdhm asala,mdhmas a la,roman,230590,$3,Hashtag has named entities,"[{""start"": 0, ""end"": 3, ""text"": ""mdh"", ""labels"": [""Named Entity""]}, {""start"": 3, ""end"": 9, ""text"": ""masala"", ""labels"": [""Named Entity""]}]",mdhmasala,1,2171,2022-01-04T07:39:06.882005Z,2022-01-04T07:39:06.882033Z,10.002,mdh masala
514,speakforuyghurs,speakforuyghurs,speakforuyghur s,speak for uyghurs,s peakforuyghurs,speakforuyghu rs,speak foruyghurs,sp eakforuyghurs,speakforuygh urs,speakfor uyghurs,spe akforuyghurs,roman,230589,$3,Hashtag has named entities,"[{""start"": 8, ""end"": 15, ""text"": ""uyghurs"", ""labels"": [""Named Entity""]}]",speakforuyghurs,1,2170,2022-01-04T07:38:52.844170Z,2022-01-04T07:38:52.844241Z,8.117,speak for uyghurs
515,rajinikanth,rajinikanth,rajini kanth,rajinikant h,r ajinikanth,raj inikanth,rajinikan th,ra jinikanth,raji nikanth,rajinika nth,rajin ikanth,roman,230581,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 11, ""text"": ""rajinikanth"", ""labels"": [""Named Entity""]}]",rajinikanth,1,2063,2021-12-30T16:59:26.390771Z,2021-12-30T16:59:26.390818Z,4.006,rajinikanth
516,shakibalhasan,shakib al hasan,shakibalhasan,shakibalhas an,shakibalha san,s hakibalhasan,shakibalhasa n,shakibal has an,shakib al has an,shakibalh as an,shakib alhasan,roman,230580,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 6, ""text"": ""shakib"", ""labels"": [""Named Entity""]}, {""start"": 6, ""end"": 8, ""text"": ""al"", ""labels"": [""Named Entity""]}, {""start"": 8, ""end"": 13, ""text"": ""hasan"", ""labels"": [""Named Entity""]}]",shakibalhasan,1,2062,2021-12-30T16:59:19.807631Z,2021-12-30T16:59:19.807678Z,29.004,shakib al hasan
517,namastetrump,namastetrump,namaste trump,namastetrum p,namastetru mp,na mastetrump,n amastetrump,nam astetrump,namastet rump,nama stetrump,namastetr ump,roman,230578,$2,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities""]}","[{""start"": 7, ""end"": 12, ""text"": ""trump"", ""labels"": [""Named Entity""]}]",namastetrump,1,2061,2021-12-30T16:58:24.706357Z,2021-12-30T16:58:24.706418Z,25.099,namaste trump
518,cbidisclosessrcase,cbidisclosessrcase,cbidisclosessrca se,cbidisclosessrcas e,cbidisclosessr case,c bidisclosessrcase,cb idisclosessrcase,cbidisclosessrc ase,cbi disclosessrcase,cbidisclosessrc as e,cbidisclosessrc a se,roman,230577,None,Hashtag has named entities,"[{""start"": 11, ""end"": 14, ""text"": ""ssr"", ""labels"": [""Named Entity""]}]",cbi disclose ssr case,1,2060,2021-12-30T16:57:57.871465Z,2021-12-30T16:57:57.871513Z,19.415,cbi disclose ssr case
519,bhagyanagar,bhagyanagar,bhagya nagar,bhag ya nagar,bhagyan agar,bhagyanaga r,b hagyanagar,bhagyanag ar,bhagya na gar,bhagyana gar,bhag ya na gar,roman,230575,$1,Hashtag has named entities,None,bhagyanagar,1,2059,2021-12-30T16:57:35.767138Z,2021-12-30T16:57:35.767183Z,4.879,bhagyanagar
520,waadahaioutnow,waadahaioutnow,waadahaiout now,waadahaioutno w,w aadahaioutnow,wa adahaioutnow,waadahaioutn ow,waa dahaioutnow,waadahai out now,waad ahaioutnow,waada haioutnow,roman,230574,None,Hashtag has non english token ,None,waada hai out now,1,2058,2021-12-30T16:57:28.812513Z,2021-12-30T16:57:28.812556Z,32.691,waada hai out now
521,vote4nda,vote4nda,vote4nd a,vote4n da,v ote4nda,vote4 nda,vote 4nda,vote 4 nda,vo te4nda,vot e4nda,vote 4 n da,roman,230573,$7,Hashtag has named entities,"[{""start"": 5, ""end"": 8, ""text"": ""nda"", ""labels"": [""Named Entity""]}]",vote4nda,1,2057,2021-12-30T16:42:14.102730Z,2021-12-30T16:42:14.102775Z,17.862,vote 4 nda
522,farmersdelhiprotest,farmersdelhiprotest,farmersdelhipro test,farmersdelhiprotes t,farmersdelhiprote st,farmersdelhi protest,farmersdelhiprot est,farm ersdelhiprotest,f armersdelhiprotest,far mersdelhiprotest,farmer sdelhiprotest,roman,230570,None,Hashtag has named entities,"[{""start"": 7, ""end"": 12, ""text"": ""delhi"", ""labels"": [""Named Entity""]}]",farmers delhi protest,1,2056,2021-12-30T16:41:50.171453Z,2021-12-30T16:41:50.171496Z,22.547,farmers delhi protest
523,voteforabijeet,voteforabijeet,voteforabije et,voteforabijee t,v oteforabijeet,voteforabi jeet,vote forabijeet,vo teforabijeet,vot eforabijeet,vote for abijeet,voteforabij eet,roman,230567,None,Hashtag has named entities,"[{""start"": 7, ""end"": 14, ""text"": ""abijeet"", ""labels"": [""Named Entity""]}]",vote for abijeet,1,2054,2021-12-30T16:41:06.867132Z,2021-12-30T16:41:06.867178Z,20.36,vote for abijeet
524,happybirthdaysoniagandhi,happybirthdaysoniagandhi,happy birthday sonia gandhi,happybirthdaysoniagandh i,happy birth day sonia gandhi,happybirthdaysoniagand hi,happybirthday sonia gandhi,happybirth day sonia gandhi,happybirthdaysonia gandhi,ha ppybirthdaysoniagandhi,h appybirthdaysoniagandhi,roman,230562,$2,Hashtag has named entities,"[{""start"": 13, ""end"": 18, ""text"": ""sonia"", ""labels"": [""Named Entity""]}, {""start"": 18, ""end"": 24, ""text"": ""gandhi"", ""labels"": [""Named Entity""]}]",happybirthdaysoniagandhi,1,2053,2021-12-30T16:40:36.697153Z,2021-12-30T16:40:36.697199Z,14.15,happy birthday sonia gandhi
525,vasanthamullai,vasanthamullai,vasanthamulla i,vasanthamull ai,v asanthamullai,va santhamullai,vasantha mullai,vasanthamul lai,vasantha mulla i,vasa nthamullai,vas anthamullai,roman,230560,$6,Hashtag has named entities,"[{""start"": 0, ""end"": 8, ""text"": ""vasantha"", ""labels"": [""Named Entity""]}, {""start"": 8, ""end"": 14, ""text"": ""mullai"", ""labels"": [""Named Entity""]}]",vasanthamullai,1,2052,2021-12-30T16:40:19.715128Z,2021-12-30T16:40:19.715174Z,33.095,vasantha mullai
526,dbsbank,dbs bank,dbsbank,dbsban k,d bsbank,db s bank,dbsb ank,dbs ban k,db sbank,dbsba nk,d b s bank,roman,230559,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 3, ""text"": ""dbs"", ""labels"": [""Named Entity""]}, {""start"": 3, ""end"": 7, ""text"": ""bank"", ""labels"": [""Named Entity""]}]",dbsbank,1,2051,2021-12-30T16:39:44.871865Z,2021-12-30T16:39:44.871911Z,10.167,dbs bank
527,banglarpappudiwas,banglarpappudiwas,banglarpappudi was,banglarpappudiw as,banglarpappudiwa s,b anglarpappudiwas,ban glarpappudiwas,ba nglarpappudiwas,banglarpappud i was,bang larpappudiwas,banglarpappu diwas,roman,230556,None,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities""]}","[{""start"": 7, ""end"": 12, ""text"": ""pappu"", ""labels"": [""Named Entity""]}]",banglar pappu diwas,1,2050,2021-12-30T16:39:25.238346Z,2021-12-30T16:39:25.238391Z,43.766,banglar pappu diwas
528,prabhasneel,prabhasneel,prabhas neel,prabhasne el,prabhasnee l,p rabhasneel,pr abhasneel,prabhasn eel,pra bhasneel,prabha sneel,prabhas ne el,roman,230554,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""prabhas"", ""labels"": [""Named Entity""]}, {""start"": 7, ""end"": 11, ""text"": ""neel"", ""labels"": [""Named Entity""]}]",prabhasneel,1,2048,2021-12-30T16:38:22.648459Z,2021-12-30T16:38:22.648506Z,31.101,prabhas neel
529,attackonbandisanjay,attackonbandisanjay,at tackonbandisanjay,a ttackonbandisanjay,attackonbandisanja y,attack onbandisanjay,attackonbandisan jay,attackonbandi sanjay,attackonbandisanj ay,att ackonbandisanjay,atta ckonbandisanjay,roman,230553,None,Hashtag has named entities,"[{""start"": 8, ""end"": 13, ""text"": ""bandi"", ""labels"": [""Named Entity""]}, {""start"": 13, ""end"": 19, ""text"": ""sanjay"", ""labels"": [""Named Entity""]}]",attack on bandi sanjay,1,2047,2021-12-30T16:37:48.472057Z,2021-12-30T16:37:48.472102Z,27.345,attack on bandi sanjay
530,whatyoongiwantsyoongigets,whatyoongiwantsyoongigets,whatyoongiwantsyoongiget s,whatyoongiwantsyoongi gets,what yoongiwantsyoongigets,w hatyoongiwantsyoongigets,whatyoongiwantsyoongige ts,whatyoongiwantsyoongig ets,wha tyoongiwantsyoongigets,wh atyoongiwantsyoongigets,whatyoongiwantsyoongige t s,roman,230552,None,Hashtag has named entities,"[{""start"": 4, ""end"": 10, ""text"": ""yoongi"", ""labels"": [""Named Entity""]}, {""start"": 15, ""end"": 21, ""text"": ""yoongi"", ""labels"": [""Named Entity""]}]",what yoongi wants yoongi gets,1,2046,2021-12-30T16:37:18.550146Z,2021-12-30T16:37:18.550195Z,40.457,what yoongi wants yoongi gets
531,yuvarathnaa,yuvarathnaa,yuvarathna a,yuvarathn aa,yuvarath naa,y uvarathnaa,yu varathnaa,yuva rathnaa,yuv arathnaa,yuva rathna a,yuvarathn a a,roman,230551,$1,Hashtag has non english token ,None,yuvarathnaa,1,2045,2021-12-30T16:36:36.170872Z,2021-12-30T16:36:36.170918Z,5.05,yuvarathnaa
532,standwithpaclvictims,standwithpaclvictims,standwithpaclvictim s,s tandwithpaclvictims,standwithpacl victims,standwithpaclvicti ms,st andwithpaclvictims,stand withpaclvictims,stan dwithpaclvictims,standwithpaclvict ims,sta ndwithpaclvictims,roman,230549,None,Hashtag has named entities,"[{""start"": 9, ""end"": 13, ""text"": ""pacl"", ""labels"": [""Named Entity""]}]",stand with pacl victims,1,2044,2021-12-30T16:35:55.723245Z,2021-12-30T16:35:55.723291Z,294.256,stand with pacl victims
533,socialjustice4vanniyar,socialjustice4vanniyar,socialjustice4vanniya r,so cialjustice4vanniyar,s ocialjustice4vanniyar,socialjustice4vanniy ar,social justice4vanniyar,soc ialjustice4vanniyar,socialjustice4vanni yar,socialjustice4vann iyar,socialjustice4 vanniyar,roman,230548,None,Hashtag has named entities,"[{""start"": 14, ""end"": 22, ""text"": ""vanniyar"", ""labels"": [""Named Entity""]}]",social justice 4 vanniyar,1,2043,2021-12-30T16:30:59.526774Z,2021-12-30T16:30:59.526821Z,14.619,social justice 4 vanniyar
534,10kasim1938,10kasim1938,10kasim193 8,1 0kasim1938,10 kasim1938,10kasim19 38,10kasim 1938,10k asim1938,10kasim1 938,10kasi m1938,10ka sim1938,roman,230547,None,Hashtag has named entities,"[{""start"": 2, ""end"": 7, ""text"": ""kasim"", ""labels"": [""Named Entity""]}]",10 kasim 1938,1,2042,2021-12-30T16:30:40.828640Z,2021-12-30T16:30:40.828683Z,51.122,10 kasim 1938
535,whatishappeninginthailand,whatishappeninginthailand,whatishappeninginthail and,what is happening in thailand,whatishappeninginthailan d,whatishappeninginthai land,what ishappeninginthailand,w hatishappeninginthailand,whatishappeningin thailand,whatishappeninginthaila nd,whatishappening in thailand,roman,230546,$3,Hashtag has named entities,"[{""start"": 17, ""end"": 25, ""text"": ""thailand"", ""labels"": [""Named Entity""]}]",whatishappeninginthailand,1,2169,2022-01-04T07:37:55.722556Z,2022-01-04T07:37:55.722628Z,11.604,what is happening in thailand
536,indiarejectsgupkar,indiarejectsgupkar,in diarejectsgupkar,indiarejectsgup kar,indiarejectsgupka r,i ndiarejectsgupkar,india rejectsgupkar,indiarejectsgupk ar,ind iarejectsgupkar,indi arejectsgupkar,indiar ejectsgupkar,roman,230543,None,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""india"", ""labels"": [""Named Entity""]}, {""start"": 12, ""end"": 18, ""text"": ""gupkar"", ""labels"": [""Named Entity""]}]",india rejects gupkar,1,2041,2021-12-30T16:29:44.367758Z,2021-12-30T16:29:44.367808Z,27.675,india rejects gupkar
537,judaiyaanalbumbydarshanraval,judaiyaanalbumbydarshanraval,judaiyaanalbumbydarshanrav al,judaiyaanalbumbydarshanrava l,j udaiyaanalbumbydarshanraval,judaiyaanalbumbydarshanra val,ju daiyaanalbumbydarshanraval,jud aiyaanalbumbydarshanraval,judaiyaanalbumbydarshanr aval,judaiyaanalbumbydarshan raval,juda iyaanalbumbydarshanraval,roman,230542,None,Hashtag has named entities,"[{""start"": 16, ""end"": 23, ""text"": ""darshan"", ""labels"": [""Named Entity""]}, {""start"": 23, ""end"": 28, ""text"": ""raval"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 9, ""text"": ""judaiyaan"", ""labels"": [""Named Entity""]}]",judaiyaan album by darshan raval,1,2040,2021-12-30T16:29:12.486298Z,2021-12-30T16:29:12.486346Z,49.48,judaiyaan album by darshan raval
538,yeosangbeautifulangel,yeosangbeautifulangel,yeosangbeautifulang el,yeosangbeautifulange l,y eosangbeautifulangel,yeosangbeautiful angel,ye osangbeautifulangel,yeosangbeautifulan gel,yeo sangbeautifulangel,yeosangbeautifulang e l,yeosangbeautifu langel,roman,230540,None,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""yeosang"", ""labels"": [""Named Entity""]}]",yeosang beautiful angel,1,2039,2021-12-30T16:27:19.338120Z,2021-12-30T16:27:19.338166Z,37.59,yeosang beautiful angel
539,kisandiwas,kisandiwas,kisandi was,kisandiw as,kis and i was,kisan diwas,kisandiwa s,kis andi was,ki sandi was,kisan di was,k isandiwas,roman,230538,$5,None,None,kisandiwas,1,2038,2021-12-30T16:26:28.400272Z,2021-12-30T16:26:28.400321Z,3.713,kisan diwas
540,saybyetopolythene,saybyetopolythene,saybyetopolythen e,saybyetopolythe ne,s aybyetopolythene,sa ybyetopolythene,say byetopolythene,saybyetopolyth ene,saybyeto polythene,saybyetopolyt hene,saybyetopolyth e ne,roman,230537,None,Hashtag has named entities,"[{""start"": 8, ""end"": 17, ""text"": ""polythene"", ""labels"": [""Named Entity""]}]",say bye to polythene,1,2037,2021-12-30T16:26:22.749005Z,2021-12-30T16:26:22.749050Z,26.715,say bye to polythene
541,hyderabadcivicpolls,hyderabadcivicpolls,hyderabadcivicpoll s,h yderabadcivicpolls,hyderabad civic polls,hyderabadcivic polls,hyderabadcivicpol ls,hyderabad civicpolls,hyde rabadcivicpolls,hyder abadcivicpolls,hyd erabadcivicpolls,roman,230536,$4,Hashtag has named entities,"[{""start"": 0, ""end"": 9, ""text"": ""hyderabad"", ""labels"": [""Named Entity""]}]",hyderabadcivicpolls,1,2036,2021-12-30T16:25:53.946715Z,2021-12-30T16:25:53.946764Z,7.616,hyderabad civic polls
542,maliyebakani,maliyebakani,maliyebakan i,m aliyebakani,maliyebaka ni,ma liyebakani,maliyebak ani,mali yebakani,mal iyebakani,maliyeba kani,maliye bakani,roman,230535,$10,Hashtag has non english token ,None,maliyebakani,1,2035,2021-12-30T16:25:34.740793Z,2021-12-30T16:25:34.740839Z,48.881,maliye bakani
543,welldonemandaviyaji,welldonemandaviyaji,welldonemandaviyaj i,welldonemandaviya ji,well donemandaviyaji,we lldonemandaviyaji,w elldonemandaviyaji,welldonemandaviy aji,wel ldonemandaviyaji,welldon emandaviyaji,welldone mandaviyaji,roman,230534,$10,Hashtag has named entities,"[{""start"": 8, ""end"": 19, ""text"": ""mandaviyaji"", ""labels"": [""Named Entity""]}]",welldonemandaviyaji,1,2034,2021-12-30T16:24:41.631345Z,2021-12-30T16:24:41.631388Z,42.088,welldone mandaviyaji
544,armyselcaday,armyselcaday,a rmyselcaday,armyselcada y,armyselca day,army selcaday,arm yselcaday,ar myselcaday,armyselcad ay,armyselc a day,armyselc aday,roman,230533,None,None,None,army selca day,1,2033,2021-12-30T16:23:57.835775Z,2021-12-30T16:23:57.835824Z,73.713,army selca day
545,faraazkhan,faraaz khan,faraazkhan,faraazkh an,faraazkha n,faraazk han,f araazkhan,far aazkhan,fa raazkhan,fara azkhan,faraaz k han,roman,230530,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 6, ""text"": ""faraaz"", ""labels"": [""Named Entity""]}, {""start"": 6, ""end"": 10, ""text"": ""khan"", ""labels"": [""Named Entity""]}]",faraazkhan,1,2032,2021-12-30T16:22:37.108305Z,2021-12-30T16:22:37.108350Z,8.998,faraaz khan
546,triviatuesdays,triviatuesdays,trivia tuesdays,triviatuesday s,triviatues days,t riviatuesdays,tri viatuesdays,tr iviatuesdays,triviatuesda ys,triviatuesd ays,triviatuesda y s,roman,230529,$2,None,None,triviatuesdays,1,2031,2021-12-30T16:22:26.483616Z,2021-12-30T16:22:26.483662Z,6.726,trivia tuesdays
547,shopian,shopian,shop ian,shopi an,shop i an,sho pian,shop i a n,s hopian,shopia n,s hopi an,sh opian,roman,230528,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""shopian"", ""labels"": [""Named Entity""]}]",shopian,1,2030,2021-12-30T16:22:18.104997Z,2021-12-30T16:22:18.105045Z,3.069,shopian
548,jasminbhasin,jasmin bhasin,jasminbhasin,jasminbhas in,jasminbhasi n,j asminbhasin,ja sminbhasin,jasminbha sin,jasminbh as in,jas minbhasin,jasminb has in,roman,230526,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 6, ""text"": ""jasmin"", ""labels"": [""Named Entity""]}, {""start"": 6, ""end"": 12, ""text"": ""bhasin"", ""labels"": [""Named Entity""]}]",jasminbhasin,1,2029,2021-12-30T16:22:11.319060Z,2021-12-30T16:22:11.319109Z,8.306,jasmin bhasin
549,positivity,positivity,positivit y,p ositivity,po sitivity,positivi ty,positiv ity,pos itivity,posi tivity,posit ivity,positiv it y,roman,230525,$1,None,None,positivity,1,2028,2021-12-30T16:22:01.450954Z,2021-12-30T16:22:01.451012Z,3.261,positivity
550,atalbiharivajpayee,atal bihari vajpayee,atalbihari vajpayee,atalbiharivajpayee,atal bihari vajpaye e,at albiharivajpayee,atalbiharivajpaye e,a talbiharivajpayee,atalbiharivajpa yee,atalbiharivajpay ee,ata lbiharivajpayee,roman,230523,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 4, ""text"": ""atal"", ""labels"": [""Named Entity""]}, {""start"": 4, ""end"": 10, ""text"": ""bihari"", ""labels"": [""Named Entity""]}, {""start"": 10, ""end"": 18, ""text"": ""vajpayee"", ""labels"": [""Named Entity""]}]",atalbiharivajpayee,1,2019,2021-12-30T16:17:37.554301Z,2021-12-30T16:17:37.554346Z,19.511,atal bihari vajpayee
551,thankyoudushyant,thankyoudushyant,thankyou dushyant,than kyoudushyant,thankyoudushyan t,thank you dushyant,t hankyoudushyant,tha nkyoudushyant,thankyoudushy ant,thank youdushyant,thankyoudushya nt,roman,230522,$5,Hashtag has named entities,"[{""start"": 8, ""end"": 16, ""text"": ""dushyant"", ""labels"": [""Named Entity""]}]",thankyoudushyant,1,2027,2021-12-30T16:21:56.380584Z,2021-12-30T16:21:56.380633Z,11.056,thank you dushyant
552,dream11iplfinal,dream11iplfinal,dream11iplfin al,dream11ipl final,dream11iplfina l,d ream11iplfinal,dr eam11iplfinal,dream 11iplfinal,dream11iplfi nal,dre am11iplfinal,dream11 ipl final,roman,230519,$10,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""dream11"", ""labels"": [""Named Entity""]}, {""start"": 7, ""end"": 10, ""text"": ""ipl"", ""labels"": [""Named Entity""]}]",dream11iplfinal,1,2018,2021-12-30T16:17:14.791542Z,2021-12-30T16:17:14.791589Z,29.995,dream11 ipl final
553,cbifasttrackssrcase,cbifasttrackssrcase,cbifasttrackssrca se,cbifasttrackssrcas e,cbifasttrackssr case,c bifasttrackssrcase,cb ifasttrackssrcase,cbifasttrackssrc ase,cbi fasttrackssrcase,cbifasttrackssrc as e,cbifasttrackssrc a se,roman,230516,None,Hashtag has named entities,"[{""start"": 12, ""end"": 15, ""text"": ""ssr"", ""labels"": [""Named Entity""]}]",cbi fasttrack ssr case,1,2016,2021-12-30T16:16:28.466581Z,2021-12-30T16:16:28.466628Z,27.049,cbi fasttrack ssr case
554,nascar,nascar,nas car,na scar,nasca r,n as car,n ascar,na s car,n a scar,nasc ar,na sc ar,roman,230515,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 6, ""text"": ""nascar"", ""labels"": [""Named Entity""]}]",nascar,1,2026,2021-12-30T16:21:41.571556Z,2021-12-30T16:21:41.571602Z,4.538,nascar
555,bambholle,bambholle,bambholl e,bambhol le,b ambholle,bamb holle,ba mbholle,bam bholle,bambh olle,bambho lle,bambhol l e,roman,230514,$7,Hashtag has non english token ,"[{""start"": 0, ""end"": 3, ""text"": ""bam"", ""labels"": [""Not Named Entity""]}, {""start"": 3, ""end"": 9, ""text"": ""bholle"", ""labels"": [""Not Named Entity""]}]",bambholle,1,2025,2021-12-30T16:21:35.257421Z,2021-12-30T16:21:35.257464Z,40.385,bam bholle
556,nivarcylone,nivarcylone,nivarcyl one,nivarcylon e,nivarcylo ne,n ivarcylone,ni varcylone,nivarcy lone,niva rcylone,niv arcylone,nivar cylone,roman,230513,$10,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""nivar"", ""labels"": [""Named Entity""]}]",nivarcylone,1,2024,2021-12-30T16:20:52.087838Z,2021-12-30T16:20:52.087884Z,9.636,nivar cylone
557,kolkataroars4ssr,kolkataroars4ssr,kolkataroars4ss r,kolkataroars4s sr,ko lkataroars4ssr,k olkataroars4ssr,kol kataroars4ssr,kolkata roars4ssr,kolkataroars4 ssr,kolkatar oars4ssr,kolk ataroars4ssr,roman,230512,None,Hashtag has named entities,"[{""start"": 13, ""end"": 16, ""text"": ""ssr"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 7, ""text"": ""kolkata"", ""labels"": [""Named Entity""]}]",kolkata roars 4 ssr,1,2023,2021-12-30T16:20:40.356058Z,2021-12-30T16:20:40.356107Z,28.813,kolkata roars 4 ssr
558,indianfootball,indian football,indianfootball,indian foot ball,in dianfootball,indianfootb all,india n football,i ndian football,in dian football,indianfootbal l,indianfoot ball,roman,230511,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 6, ""text"": ""indian"", ""labels"": [""Named Entity""]}]",indianfootball,1,2022,2021-12-30T16:20:09.651653Z,2021-12-30T16:20:09.651702Z,8.724,indian football
559,justiceforharleydealers,justiceforharleydealers,justiceforharleydealer s,just iceforharleydealers,justiceforharleydeale rs,j usticeforharleydealers,justice forharleydealers,justiceforharley dealers,ju sticeforharleydealers,jus ticeforharleydealers,justiceforharleydeal ers,roman,230509,None,Hashtag has named entities,"[{""start"": 10, ""end"": 16, ""text"": ""harley"", ""labels"": [""Named Entity""]}]",justice for harley dealers,1,2021,2021-12-30T16:19:56.579858Z,2021-12-30T16:19:56.579914Z,25.676,justice for harley dealers
560,sanakhan,sana khan,sanakhan,sa na khan,sanak han,sanakh an,san akhan,san a khan,s anakhan,sanakha n,sa nakhan,roman,230507,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 4, ""text"": ""sana"", ""labels"": [""Named Entity""]}, {""start"": 4, ""end"": 8, ""text"": ""khan"", ""labels"": [""Named Entity""]}]",sanakhan,1,2015,2021-12-30T16:15:59.343372Z,2021-12-30T16:15:59.343422Z,8.366,sana khan
561,ipl2020final,ipl2020final,ipl 2020 final,ipl2020fin al,ipl2020 final,ipl2020fina l,i pl2020final,ip l2020final,ipl2020fi nal,ipl 2020final,ipl2020f in al,roman,230506,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 3, ""text"": ""ipl"", ""labels"": [""Named Entity""]}]",ipl2020final,1,2014,2021-12-30T16:15:49.327109Z,2021-12-30T16:15:49.327156Z,8.048,ipl 2020 final
562,buzzegagamechanger,buzzegagamechanger,buzzegagamechange r,buzzegagamechang er,b uzzegagamechanger,buzzegagamech anger,bu zzegagamechanger,buzz egagamechanger,buzzegagamec hanger,buzzegagamechan ger,buzzegagame changer,roman,230505,None,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""buzzega"", ""labels"": [""Named Entity""]}]",buzzega game changer,1,2013,2021-12-30T16:15:38.808783Z,2021-12-30T16:15:38.808829Z,55.951,buzzega game changer
